,StaticPress_AC3S,SupplyTemp.AC3,OAT,ReturnTemp.AC3,Q_load,Total_power,Total_flow
2020-05-18 07:30:00,1.2999999523162842,68.54411697387695,56.58088302612305,73.8382339477539,36272.368535581525,6.7999998927116385,6851.448261260986
2020-05-18 07:40:00,1.5,69.47793960571289,56.26470756530762,74.14705657958984,37211.67231100073,7.9500001072883615,7969.745140075684
2020-05-18 07:50:00,1.5,69.72058486938478,56.125,74.2867660522461,38492.031546950966,9.29999977350235,8429.808193206787
2020-05-18 08:00:00,1.5,69.97058486938478,56.19117736816406,74.29412078857422,38159.34270763542,9.25,8825.957138061523
2020-05-18 08:10:00,1.5,70.19852828979492,56.28676414489746,74.34558868408203,38023.226297159614,10.250000059604645,9168.717761993408
2020-05-18 08:20:00,1.5,69.60293960571289,56.30882263183594,74.34558868408203,43832.805198441165,10.900000095367432,9242.261966705322
2020-05-18 08:30:00,1.5,70.11029434204103,56.91176414489746,74.36764526367188,40645.17254781388,11.299999833106995,9547.057147979736
2020-05-18 08:40:00,1.5,70.22793960571289,57.375,74.39705657958984,39892.03007751223,9.199999749660492,9568.460258483889
2020-05-18 08:50:00,1.5,70.05882263183594,57.48529434204102,74.42646789550781,41728.671904261806,10.450000166893005,9554.043285369871
2020-05-18 09:00:00,1.5,69.625,57.68382263183594,74.51470565795898,46630.2737088389,10.95000010728836,9536.417316436768
2020-05-18 09:10:00,1.5,69.75735092163086,57.9044132232666,74.6617660522461,46869.08770410002,10.800000131130219,9556.509075164797
2020-05-18 09:20:00,1.5,69.95588302612305,57.91911697387695,74.63235473632812,45649.080004564334,11.449999690055845,9761.436149597168
2020-05-18 09:30:00,1.5,69.84558868408203,58.36029434204102,74.54412078857422,44995.497143691864,10.949999988079071,9576.500946044922
2020-05-18 09:40:00,1.5,69.78676223754883,58.86029434204102,74.48529434204102,45403.27737229911,11.49999988079071,9663.289802551271
2020-05-18 09:50:00,1.5,70.27941131591797,59.80147171020508,74.48529434204102,41208.386029723566,11.399999916553497,9797.796508789062
2020-05-18 10:00:00,1.5,69.89706039428711,59.60294151306152,74.54412078857422,45032.00306993245,10.550000071525574,9690.427764892578
2020-05-18 10:10:00,1.5,69.91911697387695,59.99264717102051,74.45587921142578,43793.295943999474,10.399999856948853,9652.98458480835
2020-05-18 10:20:00,1.5,70.16176605224611,60.47794151306152,74.45587921142578,41734.588747028996,10.699999690055845,9719.023975372314
2020-05-18 10:30:00,1.5,70.02941131591797,61.00735473632813,74.51470947265625,44475.60323797424,12.399999797344208,9915.86326789856
2020-05-18 10:40:00,1.5,70.02941131591797,61.41911697387695,74.60294342041016,44722.670318775046,11.75,9778.584537506104
2020-05-18 10:50:00,1.5,69.86764907836914,61.8161735534668,74.77941131591797,49119.1850411472,11.300000011920929,10000.318147659302
2020-05-18 11:00:00,1.5,69.72793960571289,62.25,74.72058868408203,49234.53751157879,12.34999966621399,9861.405586242676
2020-05-18 11:10:00,1.5,70.00735092163086,62.55146789550781,74.72058868408203,46734.37054650595,11.400000393390656,9915.555484771729
2020-05-18 11:20:00,1.5,69.8161735534668,63.13970565795898,74.60294342041016,47232.62910033342,10.900000214576721,9867.328159332275
2020-05-18 11:30:00,1.5,70.11764907836914,63.50735092163086,74.57353210449219,43719.95141802628,11.149999797344208,9811.736789703371
2020-05-18 11:40:00,1.5,69.65441131591797,63.94117736816406,74.54412078857422,48307.10503103002,10.450000286102297,9879.3405418396
2020-05-18 11:50:00,1.5,70.16911697387695,64.17646789550781,74.51470947265625,42402.39466668996,10.899999737739561,9757.563480377195
2020-05-18 12:00:00,1.5,69.92647171020508,64.39706039428711,74.51470947265625,45320.94891223041,11.54999989271164,9877.637397766111
2020-05-18 12:10:00,1.5,70.25,64.61764907836914,74.54412078857422,42873.8618519578,11.299999952316284,9984.316688537598
2020-05-18 12:20:00,1.5,69.94852828979492,64.85294342041016,74.57353210449219,46716.01297998898,11.550000369548798,10100.751232147215
2020-05-18 12:30:00,1.5,70.36029434204103,64.83088302612305,74.57353210449219,42882.950492911405,12.349999904632568,10178.146335601808
2020-05-18 12:40:00,1.5,69.70588302612305,65.14706039428711,74.60294342041016,50274.53033646307,11.599999666213987,10266.267166137697
2020-05-18 12:50:00,1.5,70.19852828979492,65.30882263183594,74.72058868408203,46136.022552919436,11.899999618530273,10202.433963775637
2020-05-18 13:00:00,1.5,69.76470565795897,65.25,74.60294342041016,49671.22638478431,12.100000262260439,10266.38805770874
2020-05-18 13:10:00,1.5,70.02941131591797,65.44117736816406,74.57353210449219,46435.54230666417,11.199999690055845,10218.817779541016
2020-05-18 13:20:00,1.5,70.19852828979492,65.33823394775389,74.57353210449219,44778.44726110357,13.150000214576723,10235.064735412598
2020-05-18 13:30:00,1.5,70.25,65.49264907836914,74.54412078857422,43895.092949121004,11.800000190734863,10222.137454986572
2020-05-18 13:40:00,1.5,69.78676605224611,65.52206039428711,74.57353210449219,49126.99018826507,11.750000178813934,10263.085693359377
2020-05-18 13:50:00,1.5,69.97793960571289,65.625,74.57353210449219,46754.983686110594,12.050000190734863,10173.875011444092
2020-05-18 14:00:00,1.5,70.16911697387695,65.99264907836914,74.57353210449219,45121.958064142775,12.399999678134916,10244.710529327393
2020-05-18 14:10:00,1.5,70.25,66.18382263183594,74.57353210449219,44345.94760155473,11.650000393390656,10256.879451751707
2020-05-18 14:20:00,1.5,70.38970565795898,66.34558868408203,74.80882263183594,45582.22736491138,11.799999952316284,10314.781806945799
