,Current.Ac3R,Frequency.Ac3R,OAH,OAT,Power.Ac3R,Power.Ac3S,ReturnCO2.AC3,ReturnTemp.AC3,SpaceTemp.AC3,SupplyTemp.AC3,Total_flow,temp_delta,Q_load,der,median_space_temp
2020-07-14 18:20:00,0.0,0.0,100.0,80.74264526367188,0.0,0.0,555.6292724609375,76.82353210449219,77.12332916259766,75.67646789550781,0.0,1.147064208984375,0.0,-0.02941131591796875,76.2249984741211
2020-07-14 18:30:00,0.0,0.0,100.0,80.61764526367188,0.0,0.0,556.5463256835939,76.79412078857422,77.18000030517578,75.64705657958984,0.0,1.147064208984375,0.0,0.0,76.31249809265137
2020-07-14 18:40:00,0.0,0.0,100.0,80.61764526367188,0.0,0.0,556.54638671875,76.82353210449219,77.20833587646484,75.61764526367188,0.0,1.2058868408203125,0.0,0.044116973876953125,76.39999771118164
2020-07-14 18:50:00,0.0,0.0,100.0,80.51470565795898,0.0,0.0,556.54638671875,76.88235473632812,77.3499984741211,75.55882263183594,0.0,1.3235321044921875,0.0,0.014705657958984375,76.44499778747559
2020-07-14 19:00:00,0.0,0.0,100.0,80.34558868408203,0.0,0.0,556.2402648925781,76.85294342041016,77.3499984741211,75.55882263183594,0.0,1.2941207885742188,0.0,-0.014705657958984375,76.57500076293945
2020-07-14 19:10:00,0.0,0.0,100.0,80.22058868408203,0.0,0.0,556.5463256835939,76.85294342041016,77.40999603271484,75.5,0.0,1.3529434204101562,0.0,0.014705657958984375,76.57500076293945
2020-07-14 19:20:00,0.0,0.0,100.0,80.15441131591797,0.0,0.0,557.1585083007811,76.88235473632812,77.47000122070312,75.5,0.0,1.382354736328125,0.0,0.0,76.66000366210938
2020-07-14 19:30:00,0.0,0.0,100.0,79.98529434204102,0.0,0.0,558.99267578125,76.85294342041016,77.55666732788086,75.5,0.0,1.3529434204101562,0.0,0.014705657958984375,76.78750228881836
2020-07-14 19:40:00,0.0,0.0,100.0,79.91911697387695,0.0,0.0,556.54638671875,76.9117660522461,77.55666732788086,75.44117736816406,0.0,1.4705886840820312,0.0,0.02941131591796875,76.83000183105469
2020-07-14 19:50:00,0.0,0.0,100.0,79.88235473632812,0.0,0.0,556.2402648925781,76.9117660522461,77.586669921875,75.44117736816406,0.0,1.4705886840820312,0.0,-0.014705657958984375,76.83000183105469
2020-07-14 20:00:00,0.0,0.0,100.0,79.91911697387695,0.0,0.0,556.2402648925781,76.88235473632812,77.586669921875,75.47058868408203,0.0,1.4117660522460938,0.0,0.0,76.95750045776367
2020-07-14 20:10:00,0.0,0.0,100.0,79.7867660522461,0.0,0.0,555.9341430664061,76.9117660522461,77.61666870117188,75.44117736816406,0.0,1.4705886840820312,0.0,0.014705657958984375,77.0
2020-07-14 20:20:00,0.0,0.0,100.0,79.36764526367188,0.0,0.0,555.9341430664061,76.9117660522461,77.64666748046875,75.44117736816406,0.0,1.4705886840820312,0.0,0.0,77.09000015258789
2020-07-14 20:30:00,0.0,0.0,100.0,79.05146789550781,0.0,0.0,555.9353942871094,76.9117660522461,77.64666748046875,75.44117736816406,0.0,1.4705886840820312,0.0,0.0,77.09000015258789
2020-07-14 20:40:00,0.0,0.0,100.0,78.60293960571289,0.0,0.0,556.2402648925781,76.9117660522461,77.64666748046875,75.4117660522461,0.0,1.5,0.0,0.02941131591796875,77.18000030517578
2020-07-14 20:50:00,0.0,0.0,100.0,78.30882263183594,0.0,0.0,557.1573181152344,76.97058868408203,77.64666748046875,75.44117736816406,0.0,1.5294113159179688,0.0,0.0,77.22249984741211
2020-07-14 21:00:00,0.0,0.0,100.0,78.27941131591797,0.0,0.0,556.5463256835939,76.9117660522461,77.67499923706055,75.44117736816406,0.0,1.4705886840820312,0.0,-0.02941131591796875,77.26499938964844
2020-07-14 21:10:00,0.0,0.0,100.0,78.22058868408203,0.0,0.0,556.54638671875,76.9117660522461,77.81666564941406,75.44117736816406,0.0,1.4705886840820312,0.0,0.014705657958984375,77.26499938964844
2020-07-14 21:20:00,0.0,0.0,100.0,78.05146789550781,0.0,0.0,556.54638671875,76.94117736816406,77.81666564941406,75.44117736816406,0.0,1.5,0.0,0.02941131591796875,77.26499938964844
2020-07-14 21:30:00,0.0,0.0,100.0,77.86029434204102,0.0,0.0,555.9353942871094,76.97058868408203,77.81666564941406,75.44117736816406,0.0,1.5294113159179688,0.0,0.0,77.26499938964844
2020-07-14 21:40:00,0.0,0.0,100.0,77.67646789550781,0.0,0.0,557.4634399414061,76.94117736816406,77.81666564941406,75.44117736816406,0.0,1.5,0.0,-0.014705657958984375,77.26499938964844
2020-07-14 21:50:00,0.0,0.0,100.0,77.70587921142578,0.0,0.0,556.54638671875,76.94117736816406,77.81666564941406,75.44117736816406,0.0,1.5,0.0,0.014705657958984375,77.3499984741211
2020-07-14 22:00:00,0.0,0.0,100.0,77.67646789550781,0.0,0.0,556.8524475097656,76.97058868408203,77.81666564941406,75.4117660522461,0.0,1.5588226318359375,0.0,0.014705657958984375,77.3499984741211
2020-07-14 22:10:00,0.0,0.0,100.0,77.55146789550781,0.0,0.0,558.3816833496094,76.97058868408203,77.81666564941406,75.44117736816406,0.0,1.5294113159179688,0.0,0.0,77.3499984741211
2020-07-14 22:20:00,0.0,0.0,100.0,77.33088302612305,0.0,0.0,556.5463256835939,76.97058868408203,77.8466682434082,75.4117660522461,0.0,1.5588226318359375,0.0,0.014705657958984375,77.3499984741211
